2019-10-02 18:51:21 INFO  SparkContext:54 - Running Spark version 2.3.0
2019-10-02 18:51:21 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-10-02 18:51:22 INFO  SparkContext:54 - Submitted application: VehicleProcessing
2019-10-02 18:51:22 INFO  SecurityManager:54 - Changing view acls to: user
2019-10-02 18:51:22 INFO  SecurityManager:54 - Changing modify acls to: user
2019-10-02 18:51:22 INFO  SecurityManager:54 - Changing view acls groups to: 
2019-10-02 18:51:22 INFO  SecurityManager:54 - Changing modify acls groups to: 
2019-10-02 18:51:22 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(user); groups with view permissions: Set(); users  with modify permissions: Set(user); groups with modify permissions: Set()
2019-10-02 18:51:23 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 62434.
2019-10-02 18:51:23 INFO  SparkEnv:54 - Registering MapOutputTracker
2019-10-02 18:51:23 INFO  SparkEnv:54 - Registering BlockManagerMaster
2019-10-02 18:51:23 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2019-10-02 18:51:23 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2019-10-02 18:51:23 INFO  DiskBlockManager:54 - Created local directory at C:\Users\user\AppData\Local\Temp\blockmgr-86fa4683-1d8d-4e34-8f9d-9d1423579a48
2019-10-02 18:51:23 INFO  MemoryStore:54 - MemoryStore started with capacity 1965.3 MB
2019-10-02 18:51:23 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2019-10-02 18:51:23 INFO  log:192 - Logging initialized @3320ms
2019-10-02 18:51:23 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2019-10-02 18:51:23 INFO  Server:414 - Started @3457ms
2019-10-02 18:51:23 INFO  AbstractConnector:278 - Started ServerConnector@12c7a01b{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2019-10-02 18:51:23 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2019-10-02 18:51:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@67304a40{/jobs,null,AVAILABLE,@Spark}
2019-10-02 18:51:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7d64e326{/jobs/json,null,AVAILABLE,@Spark}
2019-10-02 18:51:23 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@13f95696{/jobs/job,null,AVAILABLE,@Spark}
